Team,Player,Position
Liverpool FC,Danny Ings,Centre-Forward
Everton FC,Joel Robles,Goalkeeper
Everton FC,Maarten Stekelenburg,Goalkeeper
Everton FC,Ramiro Funes Mori,Centre-Back
West Ham United,Stephen Hendrie,Left-Back
West Ham United,Sam Byram,Left-Back
West Ham United,Lewis Page,Left-Back
West Ham United,Alex Pike,Right-Back
Sunderland AFC,Tommy Robson,Left-Back
Sunderland AFC,Adam Matthews,Right-Back
Sunderland AFC,Billy Jones,Right-Back
Sunderland AFC,Donald Love,Right-Back
Sunderland AFC,Jan Kirchhoff,Defensive Midfield
Sunderland AFC,George Honeyman,Attacking Midfield
Sunderland AFC,Elliot Embleton,Attacking Midfield
Sunderland AFC,Wahbi Khazri,Left Winger
Sunderland AFC,Jeremain Lens,Right Winger
Sunderland AFC,Joel Asoro,Right Winger
Sunderland AFC,Jermain Defoe,Centre-Forward
Sunderland AFC,Victor Anichebe,Centre-Forward
Burnley FC,Patrick Bamford,Centre-Forward
Crystal Palace,Kleton Perntreou,Goalkeeper
Crystal Palace,Mamadou Sakho,Centre-Back
Crystal Palace,Joe Ledley,Central Midfield
Crystal Palace,Noor Husin,Central Midfield
Crystal Palace,Jeffrey Schlupp,Left Midfield
Crystal Palace,Yannick Bolasie,Left Winger
Watford FC,Tommie Hoban,Centre-Back
Watford FC,Charlie Rowan,Centre-Back
Watford FC,Jose Cholevas,Left-Back
Watford FC,Brandon Mason,Left-Back
Watford FC,Daryl Janmaat,Right-Back
Watford FC,Allan Nyom,Right-Back
Watford FC,Andrew Eleftheriou,Right-Back
Watford FC,Étienne Capoue,Defensive Midfield
Watford FC,Brice Dja Djedje,Defensive Midfield
Watford FC,Roberto Pereyra,Central Midfield
Watford FC,Tom Cleverley,Central Midfield
Watford FC,Abdoulaye Doucouré,Central Midfield
Watford FC,Sven Kums,Central Midfield
Watford FC,Ikechi Anya,Left Midfield
Watford FC,Camilo Zúñiga,Left Midfield
Watford FC,Kenedy,Left Winger
Watford FC,Steven Berghuis,Right Winger
Burnley FC,Andre Gray,Centre-Forward
Crystal Palace,Damien Delaney,Centre-Back
Crystal Palace,Ryan Inniss,Centre-Back
Crystal Palace,Patrick van Aanholt,Left-Back
Crystal Palace,Zeki Fryers,Left-Back
Crystal Palace,Joel Ward,Right-Back
Crystal Palace,Jonny Williams,Attacking Midfield
Crystal Palace,Sullay Kaikai,Left Winger
Crystal Palace,Keshi Anderson,Left Winger
Crystal Palace,Andros Townsend,Right Winger
Watford FC,Younès Kaboul,Centre-Back
Watford FC,Mario Suárez,Defensive Midfield
Watford FC,Valon Behrami,Defensive Midfield
Watford FC,Juan Carlos Paredes,Defensive Midfield
Watford FC,Adlène Guédioura,Defensive Midfield
Watford FC,Ben Watson,Central Midfield
Watford FC,Carl Stewart,Central Midfield
Watford FC,Dion Pereira,Left Winger
Watford FC,Nordin Amrabat,Right Winger
Watford FC,M'Baye Niang,Centre-Forward
Watford FC,Troy Deeney,Centre-Forward
Watford FC,Odion Ighalo,Centre-Forward
Watford FC,Matej Vydra,Centre-Forward
Watford FC,Stefano Okaka,Centre-Forward
Watford FC,Isaac Success,Centre-Forward
Watford FC,Obbi Oulare,Centre-Forward
Watford FC,Mauro Zárate,Centre-Forward
Watford FC,Jerome Sinclair,Centre-Forward
Watford FC,Mathias Ranégie,Centre-Forward
Watford FC,Michael Folivi,Centre-Forward
AFC Bournemouth,Artur Boruc, Goalkeeper
AFC Bournemouth,Adam Federici, Goalkeeper
AFC Bournemouth,Aaron Ramsdale, Goalkeeper
AFC Bournemouth,Ryan Allsop, Goalkeeper
AFC Bournemouth,Jordan Holmes, Defender
AFC Bournemouth,Nathan Aké, Defender
AFC Bournemouth,Steve Cook, Defender
AFC Bournemouth,Tyrone Mings, Defender
AFC Bournemouth,Marc Wilson, Defender
AFC Bournemouth,Baily Cargill, Defender
AFC Bournemouth,Jack Simpson, Defender
AFC Bournemouth,Corey Jordan, Defender
AFC Bournemouth,Charlie Daniels, Defender
AFC Bournemouth,Brad Smith, Defender
AFC Bournemouth,Rhoys Wiggins, Defender
AFC Bournemouth,Callum Buckley, Defender
AFC Bournemouth,Ollie Harfield, Defender
AFC Bournemouth,Adam Smith, Defender
AFC Bournemouth,Jack Wilshere, Midfielder
AFC Bournemouth,Lewis Cook, Midfielder
AFC Bournemouth,Dan Gosling, Midfielder
AFC Bournemouth,Harry Arter, Midfielder
AFC Bournemouth,Andrew Surman, Midfielder
AFC Bournemouth,Eunan O'Kane, Midfielder
AFC Bournemouth,Emerson Hyndman, Midfielder
AFC Bournemouth,Matt Worthington, Midfielder
AFC Bournemouth,Keelan O'Connell, Midfielder
AFC Bournemouth,Max Gradel, Midfielder
AFC Bournemouth,Ryan Fraser, Midfielder
AFC Bournemouth,Junior Stanislas, Midfielder
Manchester United,Morgan Schneiderlin, Midfielder
