team,player,event_type,reason,start_date,end_date,days,url
Arsenal FC,Shkodran Mustafi,injury,concussion,2017-05-15,2017-06-08,25 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Shkodran Mustafi,injury,Thigh problems,2017-04-17,2017-05-04,18 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Shkodran Mustafi,injury,Hamstring injury,2016-12-12,2017-01-02,22 days,https://www.transfermarkt.co.uk/shkodran-mustafi/profil/spieler/88590
Arsenal FC,Laurent Koscielny,injury,Thigh problems,2017-02-16,2017-03-02,15 days,https://www.transfermarkt.co.uk/laurent-koscielny/profil/spieler/76277
Arsenal FC,Calum Chambers,injury,Foot injury,2017-02-20,2017-04-17,57 days,https://www.transfermarkt.co.uk/calum-chambers/profil/spieler/215118
Arsenal FC,Calum Chambers,injury,Foot injury,2017-01-26,2017-02-02,8 days,https://www.transfermarkt.co.uk/calum-chambers/profil/spieler/215118
Arsenal FC,Gabriel Paulista,injury,Knee injury,2017-05-21,2017-09-06,109 days,https://www.transfermarkt.co.uk/gabriel-paulista/profil/spieler/149498
Arsenal FC,Gabriel Paulista,injury,Ankle injury,2016-08-08,2016-09-19,43 days,https://www.transfermarkt.co.uk/gabriel-paulista/profil/spieler/149498
Arsenal FC,Rob Holding,none,,,,,https://www.transfermarkt.co.uk/rob-holding/profil/spieler/253341
Arsenal FC,Per Mertesacker,injury,Knee injury,2016-07-21,2017-01-27,191 days,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710
Arsenal FC,Krystian Bielik,none,,,,,https://www.transfermarkt.co.uk/krystian-bielik/profil/spieler/287247
Arsenal FC,Nacho Monreal,injury,Thigh problems,2016-10-27,2016-11-07,12 days,https://www.transfermarkt.co.uk/nacho-monreal/profil/spieler/43003
Arsenal FC,Kieran Gibbs,injury,Knee injury,2016-12-26,2017-01-16,22 days,https://www.transfermarkt.co.uk/kieran-gibbs/profil/spieler/44792
Arsenal FC,Marc Bola,none,,,,,https://www.transfermarkt.co.uk/marc-bola/profil/spieler/340310
Arsenal FC,Héctor Bellerín,injury,Ankle injury,2017-01-06,2017-01-16,11 days,https://www.transfermarkt.co.uk/hector-bellerin/profil/spieler/191217
Arsenal FC,Héctor Bellerín,injury,Ankle injury,2016-11-07,2016-12-10,34 days,https://www.transfermarkt.co.uk/hector-bellerin/profil/spieler/191217
Arsenal FC,Carl Jenkinson,injury,Torn knee ligaments,2016-01-23,2016-10-13,265 days,https://www.transfermarkt.co.uk/carl-jenkinson/profil/spieler/126321
Arsenal FC,Mathieu Debuchy,injury,Hamstring injury,2016-11-27,2017-01-27,62 days,https://www.transfermarkt.co.uk/mathieu-debuchy/profil/spieler/27306
Arsenal FC,Ainsley Maitland-Niles,none,,,,,https://www.transfermarkt.co.uk/ainsley-maitland-niles/profil/spieler/285845
Arsenal FC,Granit Xhaka,injury,Ankle injury,2017-04-30,2017-05-10,11 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Granit Xhaka,suspension,Red card suspension,2017-01-23,2017-02-13,22 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
Arsenal FC,Granit Xhaka,suspension,Red card suspension,2016-10-17,2016-10-31,15 days,https://www.transfermarkt.co.uk/granit-xhaka/profil/spieler/111455
