Team,Player,URL
Arsenal FC,Lucas Pérez,https://www.transfermarkt.co.uk/lucas-perez/profil/spieler/73185
Arsenal FC,Danny Welbeck,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Arsenal FC,Chuba Akpom,https://www.transfermarkt.co.uk/chuba-akpom/profil/spieler/197642
Arsenal FC,Yaya Sanogo,https://www.transfermarkt.co.uk/yaya-sanogo/profil/spieler/127194
Manchester United,David de Gea,https://www.transfermarkt.co.uk/david-de-gea/profil/spieler/59377
Manchester United,Sergio Romero,https://www.transfermarkt.co.uk/sergio-romero/profil/spieler/30690
Manchester United,Sam Johnstone,https://www.transfermarkt.co.uk/sam-johnstone/profil/spieler/110864
Manchester United,Joel Pereira,https://www.transfermarkt.co.uk/joel-pereira/profil/spieler/192611
Manchester United,Dean Henderson,https://www.transfermarkt.co.uk/dean-henderson/profil/spieler/258919
Manchester United,Kieran O'Hara,https://www.transfermarkt.co.uk/kieran-ohara/profil/spieler/289791
Manchester United,Eric Bailly,https://www.transfermarkt.co.uk/eric-bailly/profil/spieler/286384
Manchester United,Daley Blind,https://www.transfermarkt.co.uk/daley-blind/profil/spieler/12282
Manchester United,Marcos Rojo,https://www.transfermarkt.co.uk/marcos-rojo/profil/spieler/93176
Manchester United,Chris Smalling,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
Manchester United,Phil Jones,https://www.transfermarkt.co.uk/phil-jones/profil/spieler/117996
Manchester United,Luke Shaw,https://www.transfermarkt.co.uk/luke-shaw/profil/spieler/183288
Manchester United,Cameron Borthwick-Jackson,https://www.transfermarkt.co.uk/cameron-borthwick-jackson/profil/spieler/258879
Manchester United,Matteo Darmian,https://www.transfermarkt.co.uk/matteo-darmian/profil/spieler/54906
Manchester United,Antonio Valencia,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544
Manchester United,Ashley Young,https://www.transfermarkt.co.uk/ashley-young/profil/spieler/14086
Manchester United,Timothy Fosu-Mensah,https://www.transfermarkt.co.uk/timothy-fosu-mensah/profil/spieler/315131
Manchester United,Axel Tuanzebe,https://www.transfermarkt.co.uk/axel-tuanzebe/profil/spieler/342046
Manchester United,Guillermo Varela,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862
Manchester United,Morgan Schneiderlin,https://www.transfermarkt.co.uk/morgan-schneiderlin/profil/spieler/56818
Manchester United,Michael Carrick,https://www.transfermarkt.co.uk/michael-carrick/profil/spieler/3878
Manchester United,Paul Pogba,https://www.transfermarkt.co.uk/paul-pogba/profil/spieler/122153
Manchester United,Henrikh Mkhitaryan,https://www.transfermarkt.co.uk/henrikh-mkhitaryan/profil/spieler/55735
Manchester United,Ander Herrera,https://www.transfermarkt.co.uk/ander-herrera/profil/spieler/99343
Manchester United,Marouane Fellaini,https://www.transfermarkt.co.uk/marouane-fellaini/profil/spieler/39679
Manchester United,Bastian Schweinsteiger,https://www.transfermarkt.co.uk/bastian-schweinsteiger/profil/spieler/2514
Manchester United,Matty Willock,https://www.transfermarkt.co.uk/matty-willock/profil/spieler/289845
Manchester United,Scott McTominay,https://www.transfermarkt.co.uk/scott-mctominay/profil/spieler/315969
Manchester United,Juan Mata,https://www.transfermarkt.co.uk/juan-mata/profil/spieler/44068
Manchester United,Jesse Lingard,https://www.transfermarkt.co.uk/jesse-lingard/profil/spieler/141660
Manchester United,Andreas Pereira,https://www.transfermarkt.co.uk/andreas-pereira/profil/spieler/203394
Manchester United,Demetri Mitchell,https://www.transfermarkt.co.uk/demetri-mitchell/profil/spieler/258886
Manchester United,Josh Harrop,https://www.transfermarkt.co.uk/josh-harrop/profil/spieler/289844
Manchester United,Angel Gomes,https://www.transfermarkt.co.uk/angel-gomes/profil/spieler/392770
Manchester United,Marcus Rashford,https://www.transfermarkt.co.uk/marcus-rashford/profil/spieler/258923
Manchester United,Adnan Januzaj,https://www.transfermarkt.co.uk/adnan-januzaj/profil/spieler/177847
Manchester United,Anthony Martial,https://www.transfermarkt.co.uk/anthony-martial/profil/spieler/182877
Manchester United,Memphis Depay,https://www.transfermarkt.co.uk/memphis-depay/profil/spieler/167850
Manchester United,Wayne Rooney,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332
